Dependency=HVAC Cooling Type	Dependency=HVAC Has Shared System	Dependency=HVAC Heating Type	Dependency=HVAC Secondary Heating Type	Option=No	Option=Yes	Option=Void	source_count	source_weight	sampling_probability
Non-Ducted Heat Pump	Cooling Only	None	Ducted Heating	0	0	1	0	0	0
Non-Ducted Heat Pump	Heating Only	None	Ducted Heating	0	0	1	0	0	0
Non-Ducted Heat Pump	Heating and Cooling	None	Ducted Heating	0	0	1	0	0	0
Non-Ducted Heat Pump	None	None	Ducted Heating	0	0	1	0	0	0
None	Cooling Only	None	Ducted Heating	0	0	1	0	0	0
None	Heating Only	None	Ducted Heating	0	0	1	0	0	0
None	Heating and Cooling	None	Ducted Heating	0	0	1	0	0	0
None	None	None	Ducted Heating	0	1	0	0	0	0
Room AC	Cooling Only	None	Ducted Heating	0	0	1	0	0	0
Room AC	Heating Only	None	Ducted Heating	0	0	1	0	0	0
Room AC	Heating and Cooling	None	Ducted Heating	0	0	1	0	0	0
Room AC	None	None	Ducted Heating	0	1	0	0	0	0
Central AC	Cooling Only	None	Non-Ducted Heating	1	0	0	0	0	0
Central AC	Heating Only	None	Non-Ducted Heating	0	0	1	0	0	0
Central AC	Heating and Cooling	None	Non-Ducted Heating	0	0	1	0	0	0
Central AC	None	None	Non-Ducted Heating	0	1	0	0	0	0
Ducted Heat Pump	Cooling Only	None	Non-Ducted Heating	0	0	1	0	0	0
Ducted Heat Pump	Heating Only	None	Non-Ducted Heating	0	0	1	0	0	0
Ducted Heat Pump	Heating and Cooling	None	Non-Ducted Heating	0	0	1	0	0	0
Ducted Heat Pump	None	None	Non-Ducted Heating	0	0	1	0	0	0
Evaporative or Swamp Cooler	Cooling Only	None	Non-Ducted Heating	0	0	1	0	0	0
Evaporative or Swamp Cooler	Heating Only	None	Non-Ducted Heating	0	0	1	0	0	0
Evaporative or Swamp Cooler	Heating and Cooling	None	Non-Ducted Heating	0	0	1	0	0	0
Evaporative or Swamp Cooler	None	None	Non-Ducted Heating	0	0	1	0	0	0
Non-Ducted Heat Pump	Cooling Only	None	Non-Ducted Heating	0	0	1	0	0	0
Non-Ducted Heat Pump	Heating Only	None	Non-Ducted Heating	0	0	1	0	0	0
Non-Ducted Heat Pump	Heating and Cooling	None	Non-Ducted Heating	0	0	1	0	0	0
Non-Ducted Heat Pump	None	None	Non-Ducted Heating	0	0	1	0	0	0
None	Cooling Only	None	Non-Ducted Heating	0	0	1	0	0	0
None	Heating Only	None	Non-Ducted Heating	0	0	1	0	0	0
None	Heating and Cooling	None	Non-Ducted Heating	0	0	1	0	0	0
None	None	None	Non-Ducted Heating	1	0	0	0	0	0
Room AC	Cooling Only	None	Non-Ducted Heating	0	0	1	0	0	0
Room AC	Heating Only	None	Non-Ducted Heating	0	0	1	0	0	0
Room AC	Heating and Cooling	None	Non-Ducted Heating	0	0	1	0	0	0
Room AC	None	None	Non-Ducted Heating	1	0	0	0	0	0
Central AC	Cooling Only	None	None	1	0	0	40	413263	0.000482839
Central AC	Heating Only	None	None	0	0	1	0	0	0
Central AC	Heating and Cooling	None	None	0	0	1	0	0	0
Central AC	None	None	None	0	1	0	279	2.81744e+06	0.00362058
Ducted Heat Pump	Cooling Only	None	None	0	0	1	0	0	0
Ducted Heat Pump	Heating Only	None	None	0	0	1	0	0	0
Ducted Heat Pump	Heating and Cooling	None	None	0	0	1	0	0	0
Ducted Heat Pump	None	None	None	0	0	1	0	0	0
Evaporative or Swamp Cooler	Cooling Only	None	None	0	0	1	1	17584.8	0
Evaporative or Swamp Cooler	Heating Only	None	None	0	0	1	0	0	0
Evaporative or Swamp Cooler	Heating and Cooling	None	None	0	0	1	0	0	0
Evaporative or Swamp Cooler	None	None	None	0	0	1	4	39064.4	0
Non-Ducted Heat Pump	Cooling Only	None	None	0	0	1	1	1833.49	0
Non-Ducted Heat Pump	Heating Only	None	None	0	0	1	0	0	0
Non-Ducted Heat Pump	Heating and Cooling	None	None	0	0	1	0	0	0
Non-Ducted Heat Pump	None	None	None	0	0	1	40	126209	0
None	Cooling Only	None	None	0	0	1	0	0	0
None	Heating Only	None	None	0	0	1	0	0	0
None	Heating and Cooling	None	None	0	0	1	0	0	0
None	None	None	None	1	0	0	218	1.3483e+06	0.00416014
Room AC	Cooling Only	None	None	0	0	1	7	88537.8	0
Room AC	Heating Only	None	None	0	0	1	0	0	0
Room AC	Heating and Cooling	None	None	0	0	1	0	0	0
Room AC	None	None	None	1	0	0	161	937990	0.00307556
# Created by: sources\recs\recs2020\tsv_maker.py
# Description: The presence of ducts in the dwelling unit.
# Source: The sample counts and sample weights are constructed using U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.
# Assumption: Ducted Heat Pump HVAC type assumed to have ducts
# Assumption: Non-Ducted Heat Pump HVAC type assumed to have no ducts
# Assumption: There are likely homes with non-ducted heat pump having ducts (Central AC with non-ducted HP) But due to structure of ResStock we are not accounting those homes
# Assumption: Evaporative or Swamp Cooler assigned Void option
# Assumption: None of the shared system options currently modeled (in HVAC Shared Efficiencies) are ducted, therefore where there are discrepancies between HVAC Heating Type, HVAC Cooling Type, and HVAC Has Shared System, HVAC Has Shared System takes precedence. (e.g., Central AC + Ducted Heating + Shared Heating and Cooling = No (Ducts)) (This is a temporary fix and will change when ducted shared system options are introduced.)
